tool,case_id,test_id,expected_count,raw_finding_count,scoped_finding_count,tp,fp,fn,precision,recall,f1,top5_precision,high_confidence_finding_count,high_confidence_precision,high_priority_finding_count,high_priority_precision,severity_score_mae,confidence_score_mae
mobsf,Platform/MASTG-TEST0007,MASTG-TEST-0007,2,10,7,2,5,0,0.2857,1.0000,0.4444,0.4000,4,0.2500,7,0.2857,N/A,N/A
mobsf,Platform/MASTG-TEST0008,MASTG-TEST-0008,2,5,4,0,4,2,0.0000,0.0000,N/A,0.0000,2,0.0000,4,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0024,MASTG-TEST-0024,2,7,6,0,6,2,0.0000,0.0000,N/A,0.0000,2,0.0000,6,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0028,MASTG-TEST-0028,3,10,9,0,9,3,0.0000,0.0000,N/A,0.0000,4,0.0000,9,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0030,MASTG-TEST-0030,2,8,7,0,7,2,0.0000,0.0000,N/A,0.0000,3,0.0000,7,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0031,MASTG-TEST-0031,2,5,4,0,4,2,0.0000,0.0000,N/A,0.0000,3,0.0000,4,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0032,MASTG-TEST-0032,3,11,10,0,10,3,0.0000,0.0000,N/A,0.0000,3,0.0000,10,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0033,MASTG-TEST-0033,3,14,13,1,12,2,0.0769,0.3333,0.1250,0.2000,4,0.2500,10,0.1000,N/A,N/A
mobsf,Platform/MASTG-TEST0035,MASTG-TEST-0035,2,9,8,0,8,2,0.0000,0.0000,N/A,0.0000,4,0.0000,8,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0037,MASTG-TEST-0037,4,6,5,0,5,4,0.0000,0.0000,N/A,0.0000,3,0.0000,5,0.0000,N/A,N/A
