tool,case_id,test_id,expected_count,raw_finding_count,scoped_finding_count,tp,fp,fn,precision,recall,f1,top5_precision,high_confidence_finding_count,high_confidence_precision,high_priority_finding_count,high_priority_precision,severity_score_mae,confidence_score_mae
mobsf,Platform/MASTG-TEST0007,MASTG-TEST-0007,2,10,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0008,MASTG-TEST-0008,2,5,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0024,MASTG-TEST-0024,2,7,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0028,MASTG-TEST-0028,3,10,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0030,MASTG-TEST-0030,2,8,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0031,MASTG-TEST-0031,2,5,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0032,MASTG-TEST-0032,3,11,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0033,MASTG-TEST-0033,3,14,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0035,MASTG-TEST-0035,2,9,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
mobsf,Platform/MASTG-TEST0037,MASTG-TEST-0037,4,6,0,0,0,4,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0007,MASTG-TEST-0007,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0008,MASTG-TEST-0008,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0024,MASTG-TEST-0024,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0028,MASTG-TEST-0028,3,0,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0030,MASTG-TEST-0030,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0031,MASTG-TEST-0031,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0032,MASTG-TEST-0032,3,0,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0033,MASTG-TEST-0033,3,0,0,0,0,3,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0035,MASTG-TEST-0035,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,Platform/MASTG-TEST0037,MASTG-TEST-0037,4,0,0,0,0,4,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
