tool,case_id,test_id,expected_count,raw_finding_count,scoped_finding_count,tp,fp,fn,precision,recall,f1,top5_precision
mobsf,Platform/MASTG-TEST0007,MASTG-TEST-0007,2,8,5,2,3,0,0.4000,1.0000,0.5714,0.6000
mobsf,Platform/MASTG-TEST0008,MASTG-TEST-0008,2,3,0,0,0,2,N/A,0.0000,N/A,N/A
mobsf,Platform/MASTG-TEST0024,MASTG-TEST-0024,2,6,3,0,3,2,0.0000,0.0000,N/A,0.0000
mobsf,Platform/MASTG-TEST0028,MASTG-TEST-0028,3,8,5,3,2,0,0.6000,1.0000,0.7500,0.8000
mobsf,Platform/MASTG-TEST0030,MASTG-TEST-0030,2,6,1,0,1,2,0.0000,0.0000,N/A,0.0000
mobsf,Platform/MASTG-TEST0031,MASTG-TEST-0031,2,3,2,0,2,2,0.0000,0.0000,N/A,0.0000
mobsf,Platform/MASTG-TEST0032,MASTG-TEST-0032,3,9,5,1,4,2,0.2000,0.3333,0.2500,0.6000
mobsf,Platform/MASTG-TEST0033,MASTG-TEST-0033,3,12,7,3,4,0,0.4286,1.0000,0.6000,0.6000
mobsf,Platform/MASTG-TEST0035,MASTG-TEST-0035,2,6,3,0,3,2,0.0000,0.0000,N/A,0.0000
mobsf,Platform/MASTG-TEST0037,MASTG-TEST-0037,4,4,1,0,1,4,0.0000,0.0000,N/A,0.0000
our_scanner,Platform/MASTG-TEST0007,MASTG-TEST-0007,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0008,MASTG-TEST-0008,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0024,MASTG-TEST-0024,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0028,MASTG-TEST-0028,3,0,0,0,0,3,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0030,MASTG-TEST-0030,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0031,MASTG-TEST-0031,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0032,MASTG-TEST-0032,3,0,0,0,0,3,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0033,MASTG-TEST-0033,3,0,0,0,0,3,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0035,MASTG-TEST-0035,2,0,0,0,0,2,N/A,0.0000,N/A,N/A
our_scanner,Platform/MASTG-TEST0037,MASTG-TEST-0037,4,0,0,0,0,4,N/A,0.0000,N/A,N/A
